GeoFips,GeoName,LineCode,Description,2020
0,United States,49,"      Data processing, hosting, and other information services",342465
0,United States,50,"    Finance, insurance, real estate, rental, and leasing",3568637
0,United States,51,      Finance and insurance,1259546
0,United States,52,"        Monetary Authorities- central bank, credit intermediation, and related services",464973
0,United States,53,"        Securities, commodity contracts, and other financial investments and related activities",220503
0,United States,54,        Insurance carriers and related activities,573870
0,United States,55,"        Funds, trusts, and other financial vehicles",20101
0,United States,56,      Real estate and rental and leasing,2306828
0,United States,57,        Real estate,2065295
0,United States,58,        Rental and leasing services and lessors of nonfinancial intangible assets,245113
0,United States,59,    Professional and business services,2483914
0,United States,60,"      Professional, scientific, and technical services",1501180
0,United States,61,        Legal services,205616
0,United States,62,        Computer systems design and related services,407044
0,United States,63,"        Miscellaneous professional, scientific, and technical services",904824
0,United States,64,      Management of companies and enterprises,439795
0,United States,65,      Administrative and support and waste management and remediation services,549772
0,United States,66,        Administrative and support services,505794
0,United States,67,        Waste management and remediation services,44233
0,United States,68,"    Educational services, health care, and social assistance",1560450
0,United States,69,      Educational services,203025
0,United States,70,      Health care and social assistance,1359301
0,United States,71,        Ambulatory health care services,705576
0,United States,72,        Hospitals,426791
0,United States,73,        Nursing and residential care facilities,122727
0,United States,74,        Social assistance,107097
0,United States,75,"    Arts, entertainment, recreation, accommodation, and food services",516215
0,United States,76,"      Arts, entertainment, and recreation",132054
0,United States,77,"        Performing arts, spectator sports, museums, and related activities",74286
0,United States,78,"        Amusement, gambling, and recreation industries",57688
0,United States,79,      Accommodation and food services,383584
0,United States,80,        Accommodation,99310
0,United States,81,        Food services and drinking places,283537
0,United States,82,    Other services (except government and government enterprises),322972
0,United States,83,  Government and government enterprises,2195488
0,United States,84,    Federal civilian,438305.8
0,United States,85,    Military,295998.5
0,United States,86,    State and local,1462444
0,United States,,Addenda:,
0,United States,87,Natural resources and mining,716518.4
0,United States,88,Trade,2172121.5
0,United States,89,Transportation and utilities,788275.9
0,United States,90,Manufacturing and information,3437607
0,United States,91,Private goods-producing industries 2/,3523391
0,United States,92,Private services-providing industries 3/,12619509
1000,Alabama,1,All industry total,196906.1
1000,Alabama,2,  Private industries,165262.4
1000,Alabama,3,"    Agriculture, forestry, fishing and hunting",2020.1
1000,Alabama,4,      Farms,1304.3
1000,Alabama,5,"      Forestry, fishing, and related activities",569.4
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",2490.7
1000,Alabama,7,      Oil and gas extraction,615.7
1000,Alabama,8,      Mining (except oil and gas),1626.2
1000,Alabama,9,      Support activities for mining,65.6
1000,Alabama,10,    Utilities,5726
1000,Alabama,11,    Construction,7411.9
1000,Alabama,12,    Manufacturing,34674.5
1000,Alabama,13,      Durable goods manufacturing,22407.2
1000,Alabama,14,        Wood product manufacturing,1340.9
1000,Alabama,15,        Nonmetallic mineral product manufacturing,754.3
1000,Alabama,16,        Primary metal manufacturing,5801.2
1000,Alabama,17,        Fabricated metal product manufacturing,2162.6
1000,Alabama,18,        Machinery manufacturing,772.3
1000,Alabama,19,        Computer and electronic product manufacturing,1210.1
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",692.2
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",5967.8
1000,Alabama,22,        Other transportation equipment manufacturing,2547.7
1000,Alabama,23,        Furniture and related product manufacturing,852.1
1000,Alabama,24,        Miscellaneous manufacturing,605.8
1000,Alabama,25,      Nondurable goods manufacturing,12232
1000,Alabama,26,        Food and beverage and tobacco product manufacturing,2347
1000,Alabama,27,        Textile mills and textile product mills,469.9
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",89.2
1000,Alabama,29,        Paper manufacturing,2379
1000,Alabama,30,        Printing and related support activities,211.7
1000,Alabama,31,        Petroleum and coal products manufacturing,2599.9
1000,Alabama,32,        Chemical manufacturing,2841.8
1000,Alabama,33,        Plastics and rubber products manufacturing,1475.9
1000,Alabama,34,    Wholesale trade,11708.3
1000,Alabama,35,    Retail trade,14515.3
1000,Alabama,36,    Transportation and warehousing,4759.2
1000,Alabama,37,      Air transportation,68.9
1000,Alabama,38,      Rail transportation,492
1000,Alabama,39,      Water transportation,73.8
1000,Alabama,40,      Truck transportation,1996.7
1000,Alabama,41,      Transit and ground passenger transportation,64.1
1000,Alabama,42,      Pipeline transportation,195.8
1000,Alabama,43,      Other transportation and support activities,1090.1
1000,Alabama,44,      Warehousing and storage,792.5
1000,Alabama,45,    Information,5314.9
1000,Alabama,46,      Publishing industries (except Internet),1208.5
1000,Alabama,47,      Motion picture and sound recording industries,90.2
1000,Alabama,48,      Broadcasting (except Internet) and telecommunications,3362.4
1000,Alabama,49,"      Data processing, hosting, and other information services",632.7
1000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",31258.2
1000,Alabama,51,      Finance and insurance,9236.4
1000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",4115.2
1000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",658.9
1000,Alabama,54,        Insurance carriers and related activities,4880.4
1000,Alabama,55,"        Funds, trusts, and other financial vehicles",14.4
1000,Alabama,56,      Real estate and rental and leasing,22208.3
1000,Alabama,57,        Real estate,20214.9
1000,Alabama,58,        Rental and leasing services and lessors of nonfinancial intangible assets,2011.4
1000,Alabama,59,    Professional and business services,20875.8
1000,Alabama,60,"      Professional, scientific, and technical services",13354.3
1000,Alabama,61,        Legal services,1919
1000,Alabama,62,        Computer systems design and related services,3461.9
1000,Alabama,63,"        Miscellaneous professional, scientific, and technical services",8080.8
1000,Alabama,64,      Management of companies and enterprises,2297.3
1000,Alabama,65,      Administrative and support and waste management and remediation services,5254.9
1000,Alabama,66,        Administrative and support services,4779.5
1000,Alabama,67,        Waste management and remediation services,473.8
1000,Alabama,68,"    Educational services, health care, and social assistance",15669.4
1000,Alabama,69,      Educational services,1005.5
1000,Alabama,70,      Health care and social assistance,14684.5
1000,Alabama,71,        Ambulatory health care services,9300
1000,Alabama,72,        Hospitals,3506.1
1000,Alabama,73,        Nursing and residential care facilities,1302.1
1000,Alabama,74,        Social assistance,606.1
1000,Alabama,75,"    Arts, entertainment, recreation, accommodation, and food services",4817.2
1000,Alabama,76,"      Arts, entertainment, and recreation",511.7
1000,Alabama,77,"        Performing arts, spectator sports, museums, and related activities",160
1000,Alabama,78,"        Amusement, gambling, and recreation industries",352.1
1000,Alabama,79,      Accommodation and food services,4300.3
1000,Alabama,80,        Accommodation,601.2
1000,Alabama,81,        Food services and drinking places,3689.8
1000,Alabama,82,    Other services (except government and government enterprises),4267.1
1000,Alabama,83,  Government and government enterprises,31655.3
1000,Alabama,84,    Federal civilian,8011.3
1000,Alabama,85,    Military,4018.1
1000,Alabama,86,    State and local,19637.3
1000,Alabama,,Addenda:,
1000,Alabama,87,Natural resources and mining,4525.5
1000,Alabama,88,Trade,26197.9
1000,Alabama,89,Transportation and utilities,10474.8
1000,Alabama,90,Manufacturing and information,39910.8
1000,Alabama,91,Private goods-producing industries 2/,47086.9
1000,Alabama,92,Private services-providing industries 3/,118249.5
2000,Alaska,1,All industry total,50161
2000,Alaska,2,  Private industries,40258.8
2000,Alaska,3,"    Agriculture, forestry, fishing and hunting",367.8
2000,Alaska,4,      Farms,40.4
2000,Alaska,5,"      Forestry, fishing, and related activities",335.6
2000,Alaska,6,"    Mining, quarrying, and oil and gas extraction",11859.4
2000,Alaska,7,      Oil and gas extraction,10486.1
2000,Alaska,8,      Mining (except oil and gas),1751.7
2000,Alaska,9,      Support activities for mining,676.5
2000,Alaska,10,    Utilities,780.1
2000,Alaska,11,    Construction,1842.2
2000,Alaska,12,    Manufacturing,1444.2
2000,Alaska,13,      Durable goods manufacturing,181.7
2000,Alaska,14,        Wood product manufacturing,32.1
2000,Alaska,15,        Nonmetallic mineral product manufacturing,27.9
2000,Alaska,16,        Primary metal manufacturing,2.8
2000,Alaska,17,        Fabricated metal product manufacturing,33.1
2000,Alaska,18,        Machinery manufacturing,9.7
2000,Alaska,19,        Computer and electronic product manufacturing,21.9
2000,Alaska,20,"        Electrical equipment, appliance, and component manufacturing",1.4
2000,Alaska,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",3.9
2000,Alaska,22,        Other transportation equipment manufacturing,34
2000,Alaska,23,        Furniture and related product manufacturing,8.1
2000,Alaska,24,        Miscellaneous manufacturing,8.6
2000,Alaska,25,      Nondurable goods manufacturing,1272
2000,Alaska,26,        Food and beverage and tobacco product manufacturing,642.1
2000,Alaska,27,        Textile mills and textile product mills,2
2000,Alaska,28,"        Apparel, leather, and allied product manufacturing",1.4
2000,Alaska,29,        Paper manufacturing,0.5
2000,Alaska,30,        Printing and related support activities,15.9
2000,Alaska,31,        Petroleum and coal products manufacturing,690.9
2000,Alaska,32,        Chemical manufacturing,10
2000,Alaska,33,        Plastics and rubber products manufacturing,4.6
2000,Alaska,34,    Wholesale trade,1217.2
2000,Alaska,35,    Retail trade,2234.1
2000,Alaska,36,    Transportation and warehousing,5192.1
2000,Alaska,37,      Air transportation,643
2000,Alaska,38,      Rail transportation,0
2000,Alaska,39,      Water transportation,216
2000,Alaska,40,      Truck transportation,244.4
2000,Alaska,41,      Transit and ground passenger transportation,86.9
2000,Alaska,42,      Pipeline transportation,3274
2000,Alaska,43,      Other transportation and support activities,684.8
2000,Alaska,44,      Warehousing and storage,34.2
2000,Alaska,45,    Information,1276.4
2000,Alaska,46,      Publishing industries (except Internet),62.1
2000,Alaska,47,      Motion picture and sound recording industries,21.8
2000,Alaska,48,      Broadcasting (except Internet) and telecommunications,1121.8
2000,Alaska,49,"      Data processing, hosting, and other information services",69.8
2000,Alaska,50,"    Finance, insurance, real estate, rental, and leasing",5456.4
2000,Alaska,51,      Finance and insurance,964.9
2000,Alaska,52,"        Monetary Authorities- central bank, credit intermediation, and related services",572.9
2000,Alaska,53,"        Securities, commodity contracts, and other financial investments and related activities",69.1
2000,Alaska,54,        Insurance carriers and related activities,311.6
2000,Alaska,55,"        Funds, trusts, and other financial vehicles",5.7
2000,Alaska,56,      Real estate and rental and leasing,4501.6
2000,Alaska,57,        Real estate,4071
2000,Alaska,58,        Rental and leasing services and lessors of nonfinancial intangible assets,403.6
2000,Alaska,59,    Professional and business services,2811.4
2000,Alaska,60,"      Professional, scientific, and technical services",1588.9
2000,Alaska,61,        Legal services,129.2
2000,Alaska,62,        Computer systems design and related services,177.3
2000,Alaska,63,"        Miscellaneous professional, scientific, and technical services",1289.2
2000,Alaska,64,      Management of companies and enterprises,376.1
2000,Alaska,65,      Administrative and support and waste management and remediation services,851.6
2000,Alaska,66,        Administrative and support services,683.7
2000,Alaska,67,        Waste management and remediation services,169.5
2000,Alaska,68,"    Educational services, health care, and social assistance",3934.6
2000,Alaska,69,      Educational services,142.9
2000,Alaska,70,      Health care and social assistance,3795.6
2000,Alaska,71,        Ambulatory health care services,2160.5
2000,Alaska,72,        Hospitals,1196.9
2000,Alaska,73,        Nursing and residential care facilities,157.1
2000,Alaska,74,        Social assistance,305.1
2000,Alaska,75,"    Arts, entertainment, recreation, accommodation, and food services",970.6
2000,Alaska,76,"      Arts, entertainment, and recreation",168.6
2000,Alaska,77,"        Performing arts, spectator sports, museums, and related activities",55.2
2000,Alaska,78,"        Amusement, gambling, and recreation industries",113.3
2000,Alaska,79,      Accommodation and food services,802
2000,Alaska,80,        Accommodation,287.6
2000,Alaska,81,        Food services and drinking places,511.9
2000,Alaska,82,    Other services (except government and government enterprises),660.8
2000,Alaska,83,  Government and government enterprises,9719.1
2000,Alaska,84,    Federal civilian,2001
2000,Alaska,85,    Military,2130
2000,Alaska,86,    State and local,5588
2000,Alaska,,Addenda:,
2000,Alaska,87,Natural resources and mining,12175.5
2000,Alaska,88,Trade,3449.7
2000,Alaska,89,Transportation and utilities,5959
2000,Alaska,90,Manufacturing and information,2708.5
2000,Alaska,91,Private goods-producing industries 2/,15530.4
2000,Alaska,92,Private services-providing industries 3/,24452.4
4000,Arizona,1,All industry total,320550.6
4000,Arizona,2,  Private industries,282558
4000,Arizona,3,"    Agriculture, forestry, fishing and hunting",3895.6
4000,Arizona,4,      Farms,3485.6
4000,Arizona,5,"      Forestry, fishing, and related activities",570.6
4000,Arizona,6,"    Mining, quarrying, and oil and gas extraction",4756
4000,Arizona,7,      Oil and gas extraction,50.9
4000,Arizona,8,      Mining (except oil and gas),4628
4000,Arizona,9,      Support activities for mining,86.9
4000,Arizona,10,    Utilities,6467
4000,Arizona,11,    Construction,14517.4
4000,Arizona,12,    Manufacturing,30769.8
4000,Arizona,13,      Durable goods manufacturing,25713.6
4000,Arizona,14,        Wood product manufacturing,269.6
4000,Arizona,15,        Nonmetallic mineral product manufacturing,887.9
4000,Arizona,16,        Primary metal manufacturing,1374.8
4000,Arizona,17,        Fabricated metal product manufacturing,1867.6
4000,Arizona,18,        Machinery manufacturing,938
4000,Arizona,19,        Computer and electronic product manufacturing,11805.3
4000,Arizona,20,"        Electrical equipment, appliance, and component manufacturing",555.9
4000,Arizona,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",764.9
4000,Arizona,22,        Other transportation equipment manufacturing,5106.2
4000,Arizona,23,        Furniture and related product manufacturing,413.8
4000,Arizona,24,        Miscellaneous manufacturing,1859.9
4000,Arizona,25,      Nondurable goods manufacturing,5047.4
4000,Arizona,26,        Food and beverage and tobacco product manufacturing,1981
4000,Arizona,27,        Textile mills and textile product mills,106
4000,Arizona,28,"        Apparel, leather, and allied product manufacturing",29.5
4000,Arizona,29,        Paper manufacturing,266.7
4000,Arizona,30,        Printing and related support activities,514.6
4000,Arizona,31,        Petroleum and coal products manufacturing,174.8
4000,Arizona,32,        Chemical manufacturing,1168.3
4000,Arizona,33,        Plastics and rubber products manufacturing,798.7
4000,Arizona,34,    Wholesale trade,18050.8
4000,Arizona,35,    Retail trade,25204.5
4000,Arizona,36,    Transportation and warehousing,8579.7
4000,Arizona,37,      Air transportation,1359.7
4000,Arizona,38,      Rail transportation,532.3
4000,Arizona,39,      Water transportation,0.1
4000,Arizona,40,      Truck transportation,2130.3
4000,Arizona,41,      Transit and ground passenger transportation,618.7
4000,Arizona,42,      Pipeline transportation,95
4000,Arizona,43,      Other transportation and support activities,1943.2
4000,Arizona,44,      Warehousing and storage,1904.6
4000,Arizona,45,    Information,16540.6
4000,Arizona,46,      Publishing industries (except Internet),3280.5
4000,Arizona,47,      Motion picture and sound recording industries,191.7
4000,Arizona,48,      Broadcasting (except Internet) and telecommunications,9663.7
4000,Arizona,49,"      Data processing, hosting, and other information services",3438.5
4000,Arizona,50,"    Finance, insurance, real estate, rental, and leasing",68700.5
4000,Arizona,51,      Finance and insurance,20877.6
4000,Arizona,52,"        Monetary Authorities- central bank, credit intermediation, and related services",9086.4
4000,Arizona,53,"        Securities, commodity contracts, and other financial investments and related activities",2136
4000,Arizona,54,        Insurance carriers and related activities,9501.8
4000,Arizona,55,"        Funds, trusts, and other financial vehicles",798.7
4000,Arizona,56,      Real estate and rental and leasing,47642.3
4000,Arizona,57,        Real estate,42527.7
4000,Arizona,58,        Rental and leasing services and lessors of nonfinancial intangible assets,5087.4
4000,Arizona,59,    Professional and business services,38414.2
4000,Arizona,60,"      Professional, scientific, and technical services",19431.2
4000,Arizona,61,        Legal services,2265.5
4000,Arizona,62,        Computer systems design and related services,5488.2
4000,Arizona,63,"        Miscellaneous professional, scientific, and technical services",11912.5
4000,Arizona,64,      Management of companies and enterprises,4748.7
4000,Arizona,65,      Administrative and support and waste management and remediation services,14320.4
4000,Arizona,66,        Administrative and support services,13641.7
4000,Arizona,67,        Waste management and remediation services,691.3
4000,Arizona,68,"    Educational services, health care, and social assistance",31716.7
4000,Arizona,69,      Educational services,3409.3
4000,Arizona,70,      Health care and social assistance,28365.1
4000,Arizona,71,        Ambulatory health care services,16049.4
4000,Arizona,72,        Hospitals,8361.1
4000,Arizona,73,        Nursing and residential care facilities,2234.1
4000,Arizona,74,        Social assistance,1749.6
4000,Arizona,75,"    Arts, entertainment, recreation, accommodation, and food services",10875.6
4000,Arizona,76,"      Arts, entertainment, and recreation",2224.3
4000,Arizona,77,"        Performing arts, spectator sports, museums, and related activities",1251.2
4000,Arizona,78,"        Amusement, gambling, and recreation industries",971.6
4000,Arizona,79,      Accommodation and food services,8628.8
4000,Arizona,80,        Accommodation,1945.6
4000,Arizona,81,        Food services and drinking places,6662.6
4000,Arizona,82,    Other services (except government and government enterprises),5182.1
4000,Arizona,83,  Government and government enterprises,38172.7
4000,Arizona,84,    Federal civilian,7512.4
4000,Arizona,85,    Military,3563.9
4000,Arizona,86,    State and local,27129.4
4000,Arizona,,Addenda:,
4000,Arizona,87,Natural resources and mining,8640.2
4000,Arizona,88,Trade,43195.5
4000,Arizona,89,Transportation and utilities,15037.4
4000,Arizona,90,Manufacturing and information,46955.7
4000,Arizona,91,Private goods-producing industries 2/,54720.5
4000,Arizona,92,Private services-providing industries 3/,228167
5000,Arkansas,1,All industry total,114943.5
5000,Arkansas,2,  Private industries,100830.8
5000,Arkansas,3,"    Agriculture, forestry, fishing and hunting",2557.4
5000,Arkansas,4,      Farms,1942.4
5000,Arkansas,5,"      Forestry, fishing, and related activities",526.6
5000,Arkansas,6,"    Mining, quarrying, and oil and gas extraction",1058.6
5000,Arkansas,7,      Oil and gas extraction,603.3
5000,Arkansas,8,      Mining (except oil and gas),318.1
5000,Arkansas,9,      Support activities for mining,157.6
5000,Arkansas,10,    Utilities,3143.5
5000,Arkansas,11,    Construction,3701.3
5000,Arkansas,12,    Manufacturing,17688.2
5000,Arkansas,13,      Durable goods manufacturing,8405.7
5000,Arkansas,14,        Wood product manufacturing,682.2
5000,Arkansas,15,        Nonmetallic mineral product manufacturing,323.3
5000,Arkansas,16,        Primary metal manufacturing,2648.9
5000,Arkansas,17,        Fabricated metal product manufacturing,1471.3
5000,Arkansas,18,        Machinery manufacturing,1201.5
5000,Arkansas,19,        Computer and electronic product manufacturing,312.6
5000,Arkansas,20,"        Electrical equipment, appliance, and component manufacturing",550.8
5000,Arkansas,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",415.2
5000,Arkansas,22,        Other transportation equipment manufacturing,667.5
5000,Arkansas,23,        Furniture and related product manufacturing,210.9
5000,Arkansas,24,        Miscellaneous manufacturing,243
5000,Arkansas,25,      Nondurable goods manufacturing,9296
5000,Arkansas,26,        Food and beverage and tobacco product manufacturing,4341.4
5000,Arkansas,27,        Textile mills and textile product mills,44.3
5000,Arkansas,28,"        Apparel, leather, and allied product manufacturing",54.9
5000,Arkansas,29,        Paper manufacturing,1349.7
5000,Arkansas,30,        Printing and related support activities,294.8
5000,Arkansas,31,        Petroleum and coal products manufacturing,957.5
5000,Arkansas,32,        Chemical manufacturing,1079.9
5000,Arkansas,33,        Plastics and rubber products manufacturing,1156.6
5000,Arkansas,34,    Wholesale trade,9008.9
5000,Arkansas,35,    Retail trade,8583
5000,Arkansas,36,    Transportation and warehousing,4293.7
5000,Arkansas,37,      Air transportation,52
5000,Arkansas,38,      Rail transportation,494.3
5000,Arkansas,39,      Water transportation,5.4
5000,Arkansas,40,      Truck transportation,2442.6
5000,Arkansas,41,      Transit and ground passenger transportation,65.3
5000,Arkansas,42,      Pipeline transportation,64.9
5000,Arkansas,43,      Other transportation and support activities,673.3
5000,Arkansas,44,      Warehousing and storage,488.5
5000,Arkansas,45,    Information,2940
5000,Arkansas,46,      Publishing industries (except Internet),345
5000,Arkansas,47,      Motion picture and sound recording industries,58.8
5000,Arkansas,48,      Broadcasting (except Internet) and telecommunications,1466.9
5000,Arkansas,49,"      Data processing, hosting, and other information services",1047.3
5000,Arkansas,50,"    Finance, insurance, real estate, rental, and leasing",17352.1
5000,Arkansas,51,      Finance and insurance,5229.2
5000,Arkansas,52,"        Monetary Authorities- central bank, credit intermediation, and related services",2165.4
5000,Arkansas,53,"        Securities, commodity contracts, and other financial investments and related activities",333
5000,Arkansas,54,        Insurance carriers and related activities,2880.9
5000,Arkansas,55,"        Funds, trusts, and other financial vehicles",13.4
5000,Arkansas,56,      Real estate and rental and leasing,12066.3
5000,Arkansas,57,        Real estate,10981.3
5000,Arkansas,58,        Rental and leasing services and lessors of nonfinancial intangible assets,1083.9
5000,Arkansas,59,    Professional and business services,13673.6
5000,Arkansas,60,"      Professional, scientific, and technical services",4323.7
5000,Arkansas,61,        Legal services,580.4
5000,Arkansas,62,        Computer systems design and related services,1111.6
5000,Arkansas,63,"        Miscellaneous professional, scientific, and technical services",2643.7
5000,Arkansas,64,      Management of companies and enterprises,6278.1
5000,Arkansas,65,      Administrative and support and waste management and remediation services,3156.1
5000,Arkansas,66,        Administrative and support services,2822.9
5000,Arkansas,67,        Waste management and remediation services,331.9
5000,Arkansas,68,"    Educational services, health care, and social assistance",10654.1
5000,Arkansas,69,      Educational services,639.4
5000,Arkansas,70,      Health care and social assistance,10024.4
5000,Arkansas,71,        Ambulatory health care services,5336.1
5000,Arkansas,72,        Hospitals,2841
5000,Arkansas,73,        Nursing and residential care facilities,999
5000,Arkansas,74,        Social assistance,895.7
5000,Arkansas,75,"    Arts, entertainment, recreation, accommodation, and food services",3068.6
5000,Arkansas,76,"      Arts, entertainment, and recreation",443.2
5000,Arkansas,77,"        Performing arts, spectator sports, museums, and related activities",196
5000,Arkansas,78,"        Amusement, gambling, and recreation industries",246.5
5000,Arkansas,79,      Accommodation and food services,2625.2
5000,Arkansas,80,        Accommodation,408
5000,Arkansas,81,        Food services and drinking places,2209.7
5000,Arkansas,82,    Other services (except government and government enterprises),2314
5000,Arkansas,83,  Government and government enterprises,14164.2
5000,Arkansas,84,    Federal civilian,2394.8
5000,Arkansas,85,    Military,789.1
5000,Arkansas,86,    State and local,10986.8
5000,Arkansas,,Addenda:,
5000,Arkansas,87,Natural resources and mining,3749.8
5000,Arkansas,88,Trade,17583.7
5000,Arkansas,89,Transportation and utilities,7423.4
5000,Arkansas,90,Manufacturing and information,20608
5000,Arkansas,91,Private goods-producing industries 2/,25937.2
5000,Arkansas,92,Private services-providing industries 3/,74772.9
6000,California,1,All industry total,2663665.9
6000,California,2,  Private industries,2379588.4
6000,California,3,"    Agriculture, forestry, fishing and hunting",56160.5
6000,California,4,      Farms,44567.7
6000,California,5,"      Forestry, fishing, and related activities",12011.8
6000,California,6,"    Mining, quarrying, and oil and gas extraction",15569.4
6000,California,7,      Oil and gas extraction,11614.5
6000,California,8,      Mining (except oil and gas),2564.7
6000,California,9,      Support activities for mining,992.2
6000,California,10,    Utilities,37357.8
6000,California,11,    Construction,87409
6000,California,12,    Manufacturing,356455.9
6000,California,13,      Durable goods manufacturing,214429
6000,California,14,        Wood product manufacturing,1904
6000,California,15,        Nonmetallic mineral product manufacturing,4093.5
6000,California,16,        Primary metal manufacturing,3180.7
6000,California,17,        Fabricated metal product manufacturing,11279
6000,California,18,        Machinery manufacturing,11466.7
6000,California,19,        Computer and electronic product manufacturing,144252.5
6000,California,20,"        Electrical equipment, appliance, and component manufacturing",4539.1
6000,California,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",8262.3
6000,California,22,        Other transportation equipment manufacturing,12502.9
6000,California,23,        Furniture and related product manufacturing,2506.3
6000,California,24,        Miscellaneous manufacturing,14485.4
6000,California,25,      Nondurable goods manufacturing,141653.1
6000,California,26,        Food and beverage and tobacco product manufacturing,24941.1
6000,California,27,        Textile mills and textile product mills,955.6
6000,California,28,"        Apparel, leather, and allied product manufacturing",3002.9
6000,California,29,        Paper manufacturing,2692.8
6000,California,30,        Printing and related support activities,3015.5
6000,California,31,        Petroleum and coal products manufacturing,44461
6000,California,32,        Chemical manufacturing,62198.9
6000,California,33,        Plastics and rubber products manufacturing,4410.9
6000,California,34,    Wholesale trade,141245.7
6000,California,35,    Retail trade,143453.2
6000,California,36,    Transportation and warehousing,64007.3
6000,California,37,      Air transportation,6957.4
6000,California,38,      Rail transportation,1346.1
6000,California,39,      Water transportation,989.8
6000,California,40,      Truck transportation,14917.3
6000,California,41,      Transit and ground passenger transportation,10293.8
6000,California,42,      Pipeline transportation,373.7
6000,California,43,      Other transportation and support activities,17214.2
6000,California,44,      Warehousing and storage,12047.8
6000,California,45,    Information,347039.8
6000,California,46,      Publishing industries (except Internet),83853.9
6000,California,47,      Motion picture and sound recording industries,38693
6000,California,48,      Broadcasting (except Internet) and telecommunications,88452.2
6000,California,49,"      Data processing, hosting, and other information services",136406.5
6000,California,50,"    Finance, insurance, real estate, rental, and leasing",447066.4
6000,California,51,      Finance and insurance,115905.1
6000,California,52,"        Monetary Authorities- central bank, credit intermediation, and related services",50155.1
6000,California,53,"        Securities, commodity contracts, and other financial investments and related activities",26279.4
6000,California,54,        Insurance carriers and related activities,38235.7
6000,California,55,"        Funds, trusts, and other financial vehicles",2089.7
6000,California,56,      Real estate and rental and leasing,330845
6000,California,57,        Real estate,301548.9
6000,California,58,        Rental and leasing services and lessors of nonfinancial intangible assets,29224.4
6000,California,59,    Professional and business services,396828.8
6000,California,60,"      Professional, scientific, and technical services",268964.6
6000,California,61,        Legal services,28580.1
6000,California,62,        Computer systems design and related services,89952
6000,California,63,"        Miscellaneous professional, scientific, and technical services",154658.7
6000,California,64,      Management of companies and enterprises,52732.7
6000,California,65,      Administrative and support and waste management and remediation services,76271.6
6000,California,66,        Administrative and support services,70568.5
6000,California,67,        Waste management and remediation services,5738.7
6000,California,68,"    Educational services, health care, and social assistance",196296
6000,California,69,      Educational services,25747.5
6000,California,70,      Health care and social assistance,170864.2
6000,California,71,        Ambulatory health care services,95071.9
6000,California,72,        Hospitals,43047.8
6000,California,73,        Nursing and residential care facilities,13055.4
